Price,Close,High,Low,Open,Volume
Ticker,MC.PA,MC.PA,MC.PA,MC.PA,MC.PA
Date,,,,,
2015-12-01,131.92396545410156,133.60025478789737,131.25345995184136,132.30114078546376,691285
2015-12-02,132.80404663085938,133.9774570740372,131.88209498522886,132.34306441350648,638809
2015-12-03,126.72745513916016,134.94127439955605,126.55982878467678,132.84591299583622,1956712
2015-12-04,127.60749816894531,128.48755243826926,125.9312091946406,127.39796204715722,1320690
2015-12-07,129.45144653320312,130.45721761675605,128.11042268482362,128.99046438976168,716753
2015-12-08,126.14077758789062,129.82860915921628,125.2188133005226,129.82860915921628,1011983
2015-12-09,124.7578353881836,127.10463016037318,123.75205158401968,126.64366083738244,943129
2015-12-10,124.04540252685547,124.7159207740042,122.45293288031512,123.79395658554073,967547
2015-12-11,121.48907470703125,123.62634630262006,120.44139380616159,123.62634630262006,1238760
2015-12-14,119.1841812133789,123.12345899118023,119.10037441159743,122.03388104450303,1046798
2015-12-15,124.00349426269531,124.92545846249148,120.18993367491593,120.52519919714726,1556323
2015-12-16,124.5901870727539,125.84740394650146,123.12343405338177,124.7997232183785,856163
2015-12-17,124.79974365234375,128.65521447873658,124.79974365234375,128.57139489113408,1205449
2015-12-18,121.53099060058594,123.75206910627733,120.81856243660802,123.75206910627733,1925953
2015-12-21,119.6032485961914,123.03964705261563,119.6032485961914,120.81855587841392,847538
2015-12-22,120.52521514892578,121.19573349306103,118.84892568312452,120.39948576554649,683988
2015-12-23,122.74624633789062,122.99769221880926,120.98615074959764,121.5309395006974,730802
2015-12-24,122.41105651855469,122.74630933914021,121.23764606835472,122.32723691887064,105195
2015-12-28,120.77664947509766,122.91390810655064,120.77664947509766,122.49483578052889,285861
2015-12-29,123.8358383178711,123.8358383178711,121.90810358996524,122.20145925321552,517351
2015-12-30,123.3329849243164,124.71593132399808,122.66247940951999,123.79396705754363,424524
2016-01-04,116.66973114013672,119.72896674459675,115.45442397193085,119.64514716510438,1505085
2016-01-05,116.8792724609375,118.68129118701881,115.28680269284035,118.63938139542198,866709
2016-01-06,114.57438659667969,116.29258591943024,113.27525965562077,116.29258591943024,1246279
2016-01-07,114.49055480957031,114.95152409757873,109.58740389811776,110.25792212031823,1658654
2016-01-08,113.44287872314453,116.627818027968,113.02380641576545,115.07725816410854,1080132
2016-01-11,113.31713104248047,115.45440202248933,113.31713104248047,113.86193262746222,937845
2016-01-12,116.8792724609375,118.68129118701881,113.44288696423502,113.98767588777541,1027758
2016-01-13,115.45442962646484,118.30411642176115,114.86773090850065,118.30411642176115,901211
2016-01-14,114.82579040527344,116.96306132464534,113.52666394141448,115.91538075525416,1816270
2016-01-15,115.16106414794922,115.16106414794922,112.52091374552647,114.57436547952992,1781539
2016-01-18,114.61628723144531,117.3402574947155,114.49057064261595,115.99922086486093,905155
2016-01-19,117.34027099609375,119.05847037920861,116.58594579817726,117.34027099609375,1197197
2016-01-20,112.85614776611328,114.32290058856442,111.17985882616911,114.029557697516,1608411
2016-01-21,116.66973114013672,117.13071324920026,112.35329136679688,112.52091773670936,1691618
2016-01-22,119.98041534423828,121.74052442749426,118.63939142330058,119.47753616978936,1236442
2016-01-25,120.6090087890625,121.86622575123788,119.14225566652455,121.02808110978762,846746
2016-01-26,121.44712829589844,121.90811031110601,117.50785185416665,118.55553243915222,788706
2016-01-27,122.45294189453125,122.45294189453125,120.02231466832362,120.8604593416905,664356
2016-01-28,120.4413833618164,123.20726325807752,119.05844980822204,121.95004628605632,886220
2016-01-29,124.21305847167969,124.21305847167969,120.3156902149267,122.78821485034392,1165816
2016-02-01,123.8358383178711,124.75780229745574,122.03383292667347,124.46444663420546,1011265
2016-02-02,121.6986083984375,124.42257868499273,120.18994537422303,124.42257868499273,1078891
2016-02-03,127.18842315673828,130.66671758707724,125.8054898986685,129.07424821178054,2671311
2016-02-04,128.06849670410156,129.91241225572332,127.18844232132912,128.948551086874,1695874
2016-02-05,127.98468017578125,129.74478898322764,127.062728772558,127.6494274453495,1323434
2016-02-08,127.14655303955078,128.7809327059606,125.47026357880766,128.4456799294414,1666050
2016-02-09,123.8358383178711,127.98465064786416,122.36908557975757,126.47598813084788,1528308
2016-02-10,124.21305847167969,126.39224009659902,122.07578664513859,124.04543206724163,1443201
2016-02-11,119.47752380371094,122.78819265186829,119.35179443130643,122.78819265186829,1659602
2016-02-12,122.36911010742188,122.41101989472502,119.3936942558997,120.44137499312079,1152364
2016-02-15,126.9369888305664,128.3618319997925,125.72168179766977,126.97889861564647,1126151
2016-02-16,125.1769027709961,127.98467954445947,124.42256494763782,127.77514339170524,992731
2016-02-17,130.33148193359375,130.33148193359375,125.26070467675542,125.26070467675542,1045609
2016-02-18,128.739013671875,130.75055556493777,128.11040523165894,130.70864577777573,782065
2016-02-19,129.49334716796875,130.28958201992498,128.02659404470697,128.23613020517294,907126
2016-02-22,130.4572296142578,132.04971236631977,130.28960321642876,130.75058540226445,692821
